indicID,indicName,publishTime,periodDate,dataValue,unit,region,dataSource,updateTime
指标代码,指标全称,数据发布时间,数据日期,数据值,单位,地区,数据来源,数据更新时间
M030000003,月_居民消费价格指数(CPI)_同比,2015-01-09 09:30:00,2014-12-31,1.51,%,中国,国家统计局,2015-01-09 18:41:51
M030000003,月_居民消费价格指数(CPI)_同比,2014-12-10 09:30:00,2014-11-30,1.44,%,中国,国家统计局,2014-12-12 10:41:56
M030000003,月_居民消费价格指数(CPI)_同比,2014-11-10 09:30:00,2014-10-31,1.6,%,中国,国家统计局,2014-12-11 17:31:16
M030000003,月_居民消费价格指数(CPI)_同比,2014-10-12 09:30:00,2014-09-30,1.63,%,中国,国家统计局,2014-10-16 14:41:55
M030000003,月_居民消费价格指数(CPI)_同比,2014-09-12 09:30:00,2014-08-31,1.99,%,中国,国家统计局,2014-09-17 14:41:55
M030000003,月_居民消费价格指数(CPI)_同比,2014-08-09 09:30:00,2014-07-31,2.29,%,中国,国家统计局,2014-08-12 14:41:57
M030000003,月_居民消费价格指数(CPI)_同比,2014-07-09 09:30:00,2014-06-30,2.34,%,中国,国家统计局,2014-07-10 17:43:08
M030000003,月_居民消费价格指数(CPI)_同比,2014-06-10 09:30:00,2014-05-31,2.47,%,中国,国家统计局,2014-06-12 16:40:18
M030000003,月_居民消费价格指数(CPI)_同比,2014-05-09 09:30:00,2014-04-30,1.8,%,中国,国家统计局,2014-05-30 09:29:58
M030000003,月_居民消费价格指数(CPI)_同比,2014-04-11 09:30:00,2014-03-31,2.4,%,中国,国家统计局,2014-05-28 14:40:21
M030000003,月_居民消费价格指数(CPI)_同比,2014-03-09 09:30:00,2014-02-28,2,%,中国,国家统计局,2014-05-28 14:40:21
M030000003,月_居民消费价格指数(CPI)_同比,2014-02-14 09:30:00,2014-01-31,2.5,%,中国,国家统计局,2014-05-28 14:40:21
M030000004,月_居民消费价格指数(CPI)_同比_城市,2015-01-09 09:30:00,2014-12-31,1.57,%,中国,国家统计局,2015-01-09 18:41:51
M030000004,月_居民消费价格指数(CPI)_同比_城市,2014-12-10 09:30:00,2014-11-30,1.5,%,中国,国家统计局,2014-12-12 10:41:56
M030000004,月_居民消费价格指数(CPI)_同比_城市,2014-11-10 09:30:00,2014-10-31,1.66,%,中国,国家统计局,2014-11-26 11:42:08
M030000004,月_居民消费价格指数(CPI)_同比_城市,2014-10-12 09:30:00,2014-09-30,1.7,%,中国,国家统计局,2014-10-16 14:41:55
M030000004,月_居民消费价格指数(CPI)_同比_城市,2014-09-12 09:30:00,2014-08-31,2.04,%,中国,国家统计局,2014-09-17 14:41:55
M030000004,月_居民消费价格指数(CPI)_同比_城市,2014-08-09 09:30:00,2014-07-31,2.33,%,中国,国家统计局,2014-08-12 14:41:58
M030000004,月_居民消费价格指数(CPI)_同比_城市,2014-07-09 09:30:00,2014-06-30,2.4,%,中国,国家统计局,2014-07-10 17:43:08
M030000004,月_居民消费价格指数(CPI)_同比_城市,2014-06-10 09:30:00,2014-05-31,2.52,%,中国,国家统计局,2014-06-12 16:40:18
M030000004,月_居民消费价格指数(CPI)_同比_城市,2014-05-09 09:30:00,2014-04-30,1.9,%,中国,国家统计局,2014-05-30 09:29:58
M030000004,月_居民消费价格指数(CPI)_同比_城市,2014-04-11 09:30:00,2014-03-31,2.5,%,中国,国家统计局,2014-05-28 14:40:21
M030000004,月_居民消费价格指数(CPI)_同比_城市,2014-03-09 09:30:00,2014-02-28,2.1,%,中国,国家统计局,2014-05-28 14:40:21
M030000004,月_居民消费价格指数(CPI)_同比_城市,2014-02-14 09:30:00,2014-01-31,2.6,%,中国,国家统计局,2014-05-28 14:40:21
M030000005,月_居民消费价格指数(CPI)_同比_农村,2015-01-09 09:30:00,2014-12-31,1.32,%,中国,国家统计局,2015-01-09 18:41:51
M030000005,月_居民消费价格指数(CPI)_同比_农村,2014-12-10 09:30:00,2014-11-30,1.27,%,中国,国家统计局,2014-12-12 10:41:56
M030000005,月_居民消费价格指数(CPI)_同比_农村,2014-11-10 09:30:00,2014-10-31,1.43,%,中国,国家统计局,2014-11-26 11:42:08
M030000005,月_居民消费价格指数(CPI)_同比_农村,2014-10-12 09:30:00,2014-09-30,1.42,%,中国,国家统计局,2014-10-16 14:41:55
M030000005,月_居民消费价格指数(CPI)_同比_农村,2014-09-12 09:30:00,2014-08-31,1.86,%,中国,国家统计局,2014-09-17 14:41:55
M030000005,月_居民消费价格指数(CPI)_同比_农村,2014-08-09 09:30:00,2014-07-31,2.14,%,中国,国家统计局,2014-08-12 14:41:58
M030000005,月_居民消费价格指数(CPI)_同比_农村,2014-07-09 09:30:00,2014-06-30,2.14,%,中国,国家统计局,2014-07-10 17:43:08
M030000005,月_居民消费价格指数(CPI)_同比_农村,2014-06-10 09:30:00,2014-05-31,2.32,%,中国,国家统计局,2014-06-12 16:40:18
M030000005,月_居民消费价格指数(CPI)_同比_农村,2014-05-09 09:30:00,2014-04-30,1.6,%,中国,国家统计局,2014-05-30 09:29:58
M030000005,月_居民消费价格指数(CPI)_同比_农村,2014-04-11 09:30:00,2014-03-31,2.1,%,中国,国家统计局,2014-05-28 14:40:21
M030000005,月_居民消费价格指数(CPI)_同比_农村,2014-03-09 09:30:00,2014-02-28,1.7,%,中国,国家统计局,2014-05-28 14:40:21
M030000005,月_居民消费价格指数(CPI)_同比_农村,2014-02-14 09:30:00,2014-01-31,2.2,%,中国,国家统计局,2014-05-28 14:40:21
M030000006,月_居民消费价格指数(CPI)_同比_食品,2015-01-09 09:30:00,2014-12-31,2.86,%,中国,国家统计局,2015-01-09 18:41:51
M030000006,月_居民消费价格指数(CPI)_同比_食品,2014-12-10 09:30:00,2014-11-30,2.31,%,中国,国家统计局,2014-12-12 10:41:56
M030000006,月_居民消费价格指数(CPI)_同比_食品,2014-11-10 09:30:00,2014-10-31,2.5,%,中国,国家统计局,2014-12-11 17:31:16
M030000006,月_居民消费价格指数(CPI)_同比_食品,2014-10-12 09:30:00,2014-09-30,2.32,%,中国,国家统计局,2014-10-16 14:41:55
M030000006,月_居民消费价格指数(CPI)_同比_食品,2014-09-12 09:30:00,2014-08-31,3.05,%,中国,国家统计局,2014-09-17 14:41:55
M030000006,月_居民消费价格指数(CPI)_同比_食品,2014-08-09 09:30:00,2014-07-31,3.6,%,中国,国家统计局,2014-08-12 14:41:58
M030000006,月_居民消费价格指数(CPI)_同比_食品,2014-07-09 09:30:00,2014-06-30,3.68,%,中国,国家统计局,2014-08-11 09:39:07
M030000006,月_居民消费价格指数(CPI)_同比_食品,2014-06-10 09:30:00,2014-05-31,4.1,%,中国,国家统计局,2014-06-12 16:40:18
M030000006,月_居民消费价格指数(CPI)_同比_食品,2014-05-09 09:30:00,2014-04-30,2.3,%,中国,国家统计局,2014-05-30 09:29:58
M030000006,月_居民消费价格指数(CPI)_同比_食品,2014-04-11 09:30:00,2014-03-31,4.1,%,中国,国家统计局,2014-05-28 14:40:21
M030000006,月_居民消费价格指数(CPI)_同比_食品,2014-03-09 09:30:00,2014-02-28,2.7,%,中国,国家统计局,2014-05-28 14:40:21
M030000006,月_居民消费价格指数(CPI)_同比_食品,2014-02-14 09:30:00,2014-01-31,3.7,%,中国,国家统计局,2014-05-28 14:40:21
M030000007,月_居民消费价格指数(CPI)_同比_非食品,2015-01-09 09:30:00,2014-12-31,0.83,%,中国,国家统计局,2015-01-09 18:41:51
M030000007,月_居民消费价格指数(CPI)_同比_非食品,2014-12-10 09:30:00,2014-11-30,1.01,%,中国,国家统计局,2014-12-12 10:41:56
M030000007,月_居民消费价格指数(CPI)_同比_非食品,2014-11-10 09:30:00,2014-10-31,1.16,%,中国,国家统计局,2014-11-26 11:42:08
