indicID,indicName,publishTime,periodDate,dataValue,unit,region,dataSource,updateTime
指标代码,指标全称,数据发布时间,数据日期,数据值,单位,地区,来源,数据更新时间
M010000002,季_GDP_环比,2015-04-15 10:00:00,2015-03-31,1.3,%,中国,国家统计局,2015-04-15 15:34:14
M010000002,季_GDP_环比,2015-01-21 10:00:00,2014-12-31,1.5,%,中国,国家统计局,2015-01-21 10:04:44
M010000003,季_GDP_累计值,2015-04-15 10:00:00,2015-03-31,140667.2,亿元,中国,国家统计局,2015-04-30 11:42:09
M010000003,季_GDP_累计值,2015-01-21 10:00:00,2014-12-31,636462.7,亿元,中国,国家统计局,2015-03-11 15:42:22
M010000004,季_GDP_累计同比,2015-04-15 10:00:00,2015-03-31,7,%,中国,国家统计局,2015-04-16 17:42:02
M010000004,季_GDP_累计同比,2015-01-21 10:00:00,2014-12-31,7.35,%,中国,国家统计局,2015-03-11 15:42:22
M010000005,季_GDP_累计值_第一产业,2015-04-15 10:00:00,2015-03-31,7770,亿元,中国,国家统计局,2015-04-16 17:42:02
M010000005,季_GDP_累计值_第一产业,2015-01-21 10:00:00,2014-12-31,58331.6,亿元,中国,国家统计局,2015-03-11 15:42:22
M010000006,季_GDP_累计值_第二产业,2015-04-15 10:00:00,2015-03-31,60291.9,亿元,中国,国家统计局,2015-04-30 11:42:10
M010000006,季_GDP_累计值_第二产业,2015-01-21 10:00:00,2014-12-31,271392.35,亿元,中国,国家统计局,2015-03-11 15:42:22
M010000007,季_GDP_累计值_第三产业,2015-04-15 10:00:00,2015-03-31,72605.3,亿元,中国,国家统计局,2015-04-30 11:42:10
M010000007,季_GDP_累计值_第三产业,2015-01-21 10:00:00,2014-12-31,306738.74,亿元,中国,国家统计局,2015-03-11 15:42:22
M010000008,季_GDP_累计同比_第一产业,2015-04-15 10:00:00,2015-03-31,3.2,%,中国,国家统计局,2015-04-16 17:42:02
M010000008,季_GDP_累计同比_第一产业,2015-01-21 10:00:00,2014-12-31,4.06,%,中国,国家统计局,2015-03-11 15:42:22
M010000009,季_GDP_累计同比_第二产业,2015-04-15 10:00:00,2015-03-31,6.4,%,中国,国家统计局,2015-04-16 17:42:02
M010000009,季_GDP_累计同比_第二产业,2015-01-21 10:00:00,2014-12-31,7.26,%,中国,国家统计局,2015-03-11 15:42:22
M010000010,季_GDP_累计同比_第三产业,2015-04-15 10:00:00,2015-03-31,7.9,%,中国,国家统计局,2015-04-16 17:42:02
M010000010,季_GDP_累计同比_第三产业,2015-01-21 10:00:00,2014-12-31,8.07,%,中国,国家统计局,2015-03-11 15:42:22
M010000011,季_GDP_同比_初步核算数,2015-04-15 10:00:00,2015-03-31,7,%,中国,国家统计局,2015-05-06 09:21:09
M010000011,季_GDP_同比_初步核算数,2015-01-21 10:00:00,2014-12-31,7.4,%,中国,国家统计局,2015-01-21 10:07:53
M010000012,季_GDP_累计值_初步核算数,2015-04-15 10:00:00,2015-03-31,140667,亿元,中国,国家统计局,2015-05-06 09:21:09
M010000012,季_GDP_累计值_初步核算数,2015-01-21 10:00:00,2014-12-31,636463,亿元,中国,国家统计局,2015-01-21 10:07:53
M010000013,季_GDP_累计值_第一产业_初步核算数,2015-04-15 10:00:00,2015-03-31,7770,亿元,中国,国家统计局,2015-05-06 09:21:09
M010000013,季_GDP_累计值_第一产业_初步核算数,2015-01-21 10:00:00,2014-12-31,58332,亿元,中国,国家统计局,2015-01-21 10:07:53
M010000014,季_GDP_累计值_第二产业_初步核算数,2015-04-15 10:00:00,2015-03-31,60292,亿元,中国,国家统计局,2015-05-06 09:21:09
M010000014,季_GDP_累计值_第二产业_初步核算数,2015-01-21 10:00:00,2014-12-31,271392,亿元,中国,国家统计局,2015-01-21 10:07:53
M010000015,季_GDP_累计值_第三产业_初步核算数,2015-04-15 10:00:00,2015-03-31,72605,亿元,中国,国家统计局,2015-05-06 09:21:09
M010000015,季_GDP_累计值_第三产业_初步核算数,2015-01-21 10:00:00,2014-12-31,306739,亿元,中国,国家统计局,2015-01-21 10:07:53
M010000016,季_GDP_累计同比_初步核算数,2015-04-15 10:00:00,2015-03-31,7,%,中国,国家统计局,2015-05-06 09:21:09
M010000016,季_GDP_累计同比_初步核算数,2015-01-21 10:00:00,2014-12-31,7.4,%,中国,国家统计局,2015-01-21 10:07:53
M010000017,季_GDP_累计同比_第一产业_初步核算数,2015-04-15 10:00:00,2015-03-31,3.2,%,中国,国家统计局,2015-05-06 09:21:09
M010000017,季_GDP_累计同比_第一产业_初步核算数,2015-01-21 10:00:00,2014-12-31,4.1,%,中国,国家统计局,2015-01-21 10:07:53
M010000018,季_GDP_累计同比_第二产业_初步核算数,2015-04-15 10:00:00,2015-03-31,6.4,%,中国,国家统计局,2015-05-06 09:21:09
M010000018,季_GDP_累计同比_第二产业_初步核算数,2015-01-21 10:00:00,2014-12-31,7.3,%,中国,国家统计局,2015-01-21 10:07:53
M010000019,季_GDP_累计同比_第三产业_初步核算数,2015-04-15 10:00:00,2015-03-31,7.9,%,中国,国家统计局,2015-05-06 09:21:09
M010000019,季_GDP_累计同比_第三产业_初步核算数,2015-01-21 10:00:00,2014-12-31,8.1,%,中国,国家统计局,2015-01-21 10:07:53
