indicID,indicName,publishTime,periodDate,dataValue,unit,region,dataSource,updateTime
指标代码,指标全称,数据发布时间,数据日期,数据值,单位,地区,数据来源,数据更新时间
M020000008,月_中国采购经理指数_制造业,2015-01-01 09:00:00,2014-12-31,50.1,%,中国,国家统计局,2015-01-05 09:05:53
M020000008,月_中国采购经理指数_制造业,2014-12-01 09:00:00,2014-11-30,50.3,%,中国,国家统计局,2014-12-05 16:42:54
M020000008,月_中国采购经理指数_制造业,2014-11-01 09:00:00,2014-10-31,50.8,%,中国,国家统计局,2014-11-03 09:11:46
M020000008,月_中国采购经理指数_制造业,2014-10-01 09:00:00,2014-09-30,51.1,%,中国,国家统计局,2014-10-08 09:26:22
M020000008,月_中国采购经理指数_制造业,2014-09-01 09:00:00,2014-08-31,51.1,%,中国,国家统计局,2014-09-01 09:03:20
M020000008,月_中国采购经理指数_制造业,2014-08-01 09:00:00,2014-07-31,51.7,%,中国,国家统计局,2014-08-06 09:04:41
M020000008,月_中国采购经理指数_制造业,2014-07-01 09:00:00,2014-06-30,51,%,中国,国家统计局,2014-07-01 09:12:14
M020000008,月_中国采购经理指数_制造业,2014-06-01 09:00:00,2014-05-31,50.8,%,中国,国家统计局,2014-06-12 16:40:20
M020000008,月_中国采购经理指数_制造业,2014-05-01 09:00:00,2014-04-30,50.4,%,中国,国家统计局,2014-06-09 09:50:59
M020000008,月_中国采购经理指数_制造业,2014-04-01 09:00:00,2014-03-31,50.3,%,中国,国家统计局,2014-05-28 14:40:21
M020000008,月_中国采购经理指数_制造业,2014-03-01 09:00:00,2014-02-28,50.2,%,中国,国家统计局,2014-05-28 14:40:21
M020000008,月_中国采购经理指数_制造业,2014-02-01 09:00:00,2014-01-31,50.5,%,中国,国家统计局,2014-05-28 14:40:21
M020000009,月_中国采购经理指数_制造业_生产,2015-01-01 09:00:00,2014-12-31,52.2,%,中国,国家统计局,2015-01-05 09:05:53
M020000009,月_中国采购经理指数_制造业_生产,2014-12-01 09:00:00,2014-11-30,52.5,%,中国,国家统计局,2014-12-05 16:42:54
M020000009,月_中国采购经理指数_制造业_生产,2014-11-01 09:00:00,2014-10-31,53.1,%,中国,国家统计局,2014-11-03 09:11:46
