indicID,indicName,publishTime,periodDate,dataValue,unit,region,dataSource,updateTime
指标代码,指标全称,数据发布时间,数据日期,数据值,单位,地区,数据来源,数据更新时间
G010000003,季_美国_GDP_2009价_折年数,2015-01-30 08:30:00,2014-12-31,16294.7,十亿美元,美国,美国国家经济分析局,2015-04-10 14:21:54
G010000003,季_美国_GDP_2009价_折年数,2014-10-30 00:00:00,2014-09-30,16205.6,十亿美元,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000003,季_美国_GDP_2009价_折年数,2014-07-30 08:00:00,2014-06-30,16010.4,十亿美元,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000003,季_美国_GDP_2009价_折年数,2014-04-30 08:00:00,2014-03-31,15831.7,十亿美元,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000004,季_美国_GDP_2009价_折年数_环比,2015-01-30 08:30:00,2014-12-31,2.2,%,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000004,季_美国_GDP_2009价_折年数_环比,2014-10-30 00:00:00,2014-09-30,5,%,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000004,季_美国_GDP_2009价_折年数_环比,2014-07-30 08:00:00,2014-06-30,4.6,%,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000004,季_美国_GDP_2009价_折年数_环比,2014-04-30 08:00:00,2014-03-31,-2.1,%,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000005,季_美国_GDP_现价_折年数,2015-01-30 08:30:00,2014-12-31,17703.7,十亿美元,美国,美国国家经济分析局,2015-04-10 14:21:54
G010000005,季_美国_GDP_现价_折年数,2014-10-30 00:00:00,2014-09-30,17599.8,十亿美元,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000005,季_美国_GDP_现价_折年数,2014-07-30 08:00:00,2014-06-30,17328.2,十亿美元,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000005,季_美国_GDP_现价_折年数,2014-04-30 08:00:00,2014-03-31,17044,十亿美元,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000006,季_美国_GDP_现价_折年数_环比,2015-01-30 08:30:00,2014-12-31,2.4,%,美国,美国国家经济分析局,2015-04-10 14:21:54
G010000006,季_美国_GDP_现价_折年数_环比,2014-10-30 00:00:00,2014-09-30,6.4,%,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000006,季_美国_GDP_现价_折年数_环比,2014-07-30 08:00:00,2014-06-30,6.8,%,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000006,季_美国_GDP_现价_折年数_环比,2014-04-30 08:00:00,2014-03-31,-0.8,%,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000007,季_美国_GDP价格指数_季调,2015-01-30 08:30:00,2014-12-31,108.68,2009年=100,美国,美国国家经济分析局,2015-04-10 14:21:54
G010000007,季_美国_GDP价格指数_季调,2014-10-30 00:00:00,2014-09-30,108.64,2009年=100,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000007,季_美国_GDP价格指数_季调,2014-07-30 08:00:00,2014-06-30,108.26,2009年=100,美国,美国国家经济分析局,2015-03-04 09:21:28
G010000007,季_美国_GDP价格指数_季调,2014-04-30 08:00:00,2014-03-31,107.69,2009年=100,美国,美国国家经济分析局,2015-03-04 09:21:28
